written_by,writes
2243223850,756a5a2387ae9c09704efc4757765d656576df07
2146325969,756a5a2387ae9c09704efc4757765d656576df07
2242657013,756a5a2387ae9c09704efc4757765d656576df07
49394985,756a5a2387ae9c09704efc4757765d656576df07
2387766795,4b491211f7f29c3e9cdea4e4cd7ea4cc6f055595
91122766,4b491211f7f29c3e9cdea4e4cd7ea4cc6f055595
1379516545,a9d6f53f54409d3f33d84b1ade53624e532ba3e9
1382580287,a9d6f53f54409d3f33d84b1ade53624e532ba3e9
2955567,a9d6f53f54409d3f33d84b1ade53624e532ba3e9
50320098,906c2b9544c7cba662f8ec5e0a8261103ae7f7c8
2237802588,906c2b9544c7cba662f8ec5e0a8261103ae7f7c8
1699657,906c2b9544c7cba662f8ec5e0a8261103ae7f7c8
2239176146,4b5445f4090dfd8e4da37d5750ea2709251abb15
2180261014,4b5445f4090dfd8e4da37d5750ea2709251abb15
1702172,4b5445f4090dfd8e4da37d5750ea2709251abb15
